ticker,security,sector,subindustry,registered,founded
HBAN,Huntington National Bank,Financials,Regional Banks,,1866
IEX,IDEX,Industrials,Industrial Machinery,2019-08-09,1988
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2017-01-05,1983
INFO,IHS Markit,Industrials,Research & Consulting Services,2017-06-02,1959
ITW,Illinois Tool Works,Industrials,Industrial Machinery,1986-02-28,1912
ILMN,Illumina,Health Care,Life Sciences Tools & Services,2015-11-19,1998
INCY,Incyte,Health Care,Biotechnology,2017-02-28,1991
IR,Ingersoll Rand,Industrials,Industrial Machinery,2020-03-03,1859
INTC,Intel,Information Technology,Semiconductors,1976-12-31,1968
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2007-09-26,2000
IBM,IBM,Information Technology,IT Consulting & Other Services,1957-03-04,1911
IP,International Paper,Materials,Paper Packaging,1957-03-04,1898
IPG,Interpublic Group,Communication Services,Advertising,1992-10-01,1961 (1930)
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,1976-03-31,1958 (1889)
INTU,Intuit,Information Technology,Application Software,2000-12-05,1983
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2008-06-02,1995
IVZ,Invesco,Financials,Asset Management & Custody Banks,2008-08-21,1935
IPGP,IPG Photonics,Information Technology,Electronic Manufacturing Services,2018-03-07,1990
IQV,IQVIA,Health Care,Life Sciences Tools & Services,2017-08-29,1982
IRM,Iron Mountain,Real Estate,Specialized REITs,2009-01-06,1951
JBHT,J.B. Hunt,Industrials,Trucking,2015-07-01,1961
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,2018-11-13,1976
J,Jacobs,Industrials,Construction & Engineering,2007-10-26,1947
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,1973-06-30,1886
JCI,Johnson Controls,Industrials,Building Products,2010-08-27,1885
JPM,JPMorgan Chase,Financials,Diversified Banks,1975-06-30,2000 (1799 / 1871)
JNPR,Juniper Networks,Information Technology,Communications Equipment,2006-06-02,1996
K,Kellogg's,Consumer Staples,Packaged Foods & Meats,1989-09-11,1906
KEY,KeyCorp,Financials,Regional Banks,1994-03-01,1825
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,2018-11-06,2014
KMB,Kimberly-Clark,Consumer Staples,Household Products,1957-03-04,1872
KIM,Kimco Realty,Real Estate,Retail REITs,2006-04-04,1958
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2012-05-25,1997
KLAC,KLA,Information Technology,Semiconductor Equipment,,1975/1977 (1997)
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2015-07-06,2015 (1869)
KR,Kroger,Consumer Staples,Food Retail,1957-03-04,1883
LHX,L3Harris,Industrials,Aerospace & Defense,2008-09-22,2019 (1895)
LH,LabCorp,Health Care,Health Care Services,2004-11-01,1978
LRCX,Lam Research,Information Technology,Semiconductor Equipment,2012-06-29,1980
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2018-12-03,2016 (1950)
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,2019-10-03,1988
LDOS,Leidos,Industrials,Diversified Support Services,2019-08-09,1969
LEN,Lennar,Consumer Discretionary,Homebuilding,2005-10-04,1954
LLY,Lilly,Health Care,Pharmaceuticals,1970-12-31,1876
LNC,Lincoln Financial,Financials,Multi-line Insurance,1976-06-30,1905
LIN,Linde,Materials,Industrial Gases,1992-07-01,1879
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,2019-12-23,2010
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2016-05-23,1998
LMT,Lockheed Martin,Industrials,Aerospace & Defense,1984-07-31,1995
L,Loews Corporation,Financials,Multi-line Insurance,,1959
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,1984-02-29,1904/1946/1959
LUMN,Lumen,Communication Services,Alternative Carriers,1999-03-25,1983 (1877)
LYB,LyondellBasell,Materials,Specialty Chemicals,2012-09-05,2007
MTB,M&T Bank,Financials,Regional Banks,2004-02-23,1856
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,1991-05-01,1887
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,2011-07-01,2009 (1887)
MKTX,MarketAxess,Financials,Financial Exchanges & Data,2019-07-01,2000
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,1927
MMC,Marsh & McLennan,Financials,Insurance Brokers,1987-08-31,1905
MLM,Martin Marietta,Materials,Construction Materials,2014-07-02,1993
MAS,Masco,Industrials,Building Products,1981-06-30,1929
MA,Mastercard,Information Technology,Data Processing & Outsourced Services,2008-07-18,1966
MTCH,Match Group,Communication Services,Interactive Media & Services,2021-09-20,1986
MKC,McCormick,Consumer Staples,Packaged Foods & Meats,2003-03-20,1889
MCD,McDonald's,Consumer Discretionary,Restaurants,1970-06-30,1940
MCK,McKesson,Health Care,Health Care Distributors,,1833
MDT,Medtronic,Health Care,Health Care Equipment,1986-10-31,1949
MRK,Merck,Health Care,Pharmaceuticals,1957-03-04,1891
FB,Meta,Communication Services,Interactive Media & Services,2013-12-23,2004
MET,MetLife,Financials,Life & Health Insurance,,1868
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,2016-09-06,1945
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,2017-07-26,1986
MCHP,Microchip,Information Technology,Semiconductors,2007-09-07,1989
MU,Micron,Information Technology,Semiconductors,1994-09-27,1978
MSFT,Microsoft,Information Technology,Systems Software,1994-06-01,1975
MAA,Mid-America Apartments,Real Estate,Residential REITs,2016-12-02,1977
MRNA,Moderna,Health Care,Biotechnology,2021-07-21,2010
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,2013-12-23,1878
TAP,Molson Coors,Consumer Staples,Brewers,1976-06-30,"2005 (Molson 1786, Coors 1873)"
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,2012-10-02,2012
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2021-02-12,1997
MNST,Monster Beverage,Consumer Staples,Soft Drinks,2012-06-28,2012 (1935)
MCO,Moody's,Financials,Financial Exchanges & Data,,1909
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,,1935
MOS,Mosaic,Materials,Fertilizers & Agricultural Chemicals,2011-09-26,2004 (1865 / 1909)
MSI,Motorola Solutions,Information Technology,Communications Equipment,,1928 (2011)
MSCI,MSCI,Financials,Financial Exchanges & Data,2018-04-04,1969
NDAQ,Nasdaq,Financials,Financial Exchanges & Data,2008-10-22,1971
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1999-06-25,1992
NFLX,Netflix,Communication Services,Movies & Entertainment,2010-12-20,1997
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,1989-04-30,1903
NEM,Newmont,Materials,Gold,1969-06-30,1921
NWSA,News Corp (Class A),Communication Services,Publishing,2013-08-01,2013 (1980)
NWS,News Corp (Class B),Communication Services,Publishing,2015-09-18,2013 (1980)
NEE,NextEra Energy,Utilities,Multi-Utilities,1976-06-30,1984 (1925)
NLSN,Nielsen,Industrials,Research & Consulting Services,2013-07-09,1923
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1988-11-30,1964
NI,NiSource,Utilities,Multi-Utilities,,1912
NDSN,Nordson,Industrials,Industrial Machinery,2022-02-15,1935
NSC,Norfolk Southern,Industrials,Railroads,1957-03-04,1881/1894 (1980)
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,,1889
NOC,Northrop Grumman,Industrials,Aerospace & Defense,1985-06-30,"1994 (Northrop 1939, Grumman 1930)"
NLOK,NortonLifeLock,Information Technology,Application Software,2003-03-25,1982
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-10-13,2011 (1966)
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,2010-01-29,1992
NUE,Nucor,Materials,Steel,1985-04-30,1940
NVDA,Nvidia,Information Technology,Semiconductors,2001-11-30,1993
NVR,NVR,Consumer Discretionary,Homebuilding,2019-09-26,1980
NXPI,NXP,Information Technology,Semiconductors,2021-03-22,1953
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,2009-03-27,1957
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,1982-12-31,1920
ODFL,Old Dominion,Industrials,Trucking,2019-12-09,1934
OMC,Omnicom Group,Communication Services,Advertising,,1986
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2010-03-15,1906
ORCL,Oracle,Information Technology,Application Software,1989-08-31,1977
OGN,Organon,Health Care,Pharmaceuticals,2021-06-03,2021
OTIS,Otis,Industrials,Industrial Machinery,2020-04-03,2020 (1853)
PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks,1980-12-31,1905
PKG,Packaging Corporation of America,Materials,Paper Packaging,2017-07-26,1959
PARA,Paramount,Communication Services,Movies & Entertainment,,2019 (1952)
PH,Parker,Industrials,Industrial Machinery,1985-11-30,1917
PAYX,Paychex,Information Technology,Data Processing & Outsourced Services,,1971
PAYC,Paycom,Information Technology,Application Software,2020-01-28,1998
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,2015-07-20,1998
PENN,Penn National Gaming,Consumer Discretionary,Casinos & Gaming,2021-03-22,1972
PNR,Pentair,Industrials,Industrial Machinery,2012-10-01,1966
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,2008-11-13,1842
PEP,PepsiCo,Consumer Staples,Soft Drinks,1957-03-04,1898
